"","ID","X","Y","DEPTH","Object"
"1",22457,116.05247,-8.35444,1.1,5
"2",22458,116.05248,-8.35412,1,5
"3",22459,116.05243,-8.35382,1,5
"4",22460,116.05233,-8.35352,0.9,5
"5",22461,116.05228,-8.35321,1,5
"6",22462,116.05222,-8.35296,1.2,5
"7",22463,116.05223,-8.35264,1.1,5
"8",22464,116.05225,-8.35235,0.9,5
"9",22465,116.05221,-8.3521,0.9,5
"10",22466,116.05207,-8.35186,1,5
"11",22467,116.05195,-8.35171,1,5
"12",22468,116.05189,-8.35142,0.9,5
"13",22469,116.05181,-8.35112,1,5
"14",22470,116.0516,-8.351,1,5
"15",22487,116.05119,-8.35003,1.2,5
"16",22488,116.05133,-8.34985,1,5
"17",22489,116.05144,-8.34965,0.9,5
"18",22490,116.05135,-8.34948,0.9,5
"19",22491,116.05117,-8.34932,1.1,5
"20",22492,116.05102,-8.34913,1.4,5
"21",22493,116.05088,-8.34888,1.5,5
"22",23104,116.04136,-8.3378,2,5
"23",23105,116.04138,-8.33785,1.6,5
"24",23106,116.04139,-8.33789,1.6,5
"25",23107,116.04147,-8.33805,1.3,5
"26",23108,116.04153,-8.33828,0.9,5
"27",14954,116.03168,-8.33912,2.7,5
"28",14955,116.03168,-8.33913,2.7,5
"29",14956,116.03167,-8.33915,3.1,5
"30",14957,116.03166,-8.33919,1.8,5
"31",14958,116.03166,-8.3392,1.7,5
"32",14959,116.03166,-8.33922,1.4,5
"33",14960,116.03165,-8.33931,0.9,5
"34",14961,116.03166,-8.33937,1,5
"35",14962,116.03167,-8.3395,1,5
"36",14963,116.03166,-8.33956,1.2,5
"37",14964,116.03163,-8.33972,1,5
"38",14965,116.03151,-8.33975,1,5
"39",14966,116.03131,-8.33975,0.9,5
"40",14967,116.03105,-8.33977,1.1,5
"41",22991,116.02812,-8.34246,1.2,5
"42",22992,116.02831,-8.34216,1.4,5
"43",23017,116.03111,-8.33963,1,5
"44",23018,116.03134,-8.33951,0.9,5
"45",23019,116.03158,-8.33936,0.8,5
"46",23020,116.03178,-8.33922,1,5
"47",23021,116.03197,-8.3391,1.2,5
"48",23022,116.03221,-8.33898,1.2,5
"49",23023,116.03238,-8.3389,2,5
"50",23024,116.03239,-8.33888,2.4,5
"51",23025,116.0325,-8.33882,3.1,5
"52",23026,116.03272,-8.33876,3.4,5
"53",23027,116.03287,-8.3387,2.6,5
"54",23028,116.03296,-8.33868,2.4,5
"55",23029,116.03298,-8.33867,1.8,5
"56",23030,116.033,-8.33867,1.3,5
"57",23031,116.03308,-8.33865,2.2,5
"58",23032,116.03311,-8.33866,2.3,5
"59",23033,116.03314,-8.33864,1.5,5
"60",23034,116.03316,-8.33864,1.5,5
"61",23035,116.03352,-8.33852,1.4,5
"62",23036,116.03381,-8.33845,1.3,5
"63",23037,116.03412,-8.33839,1.2,5
"64",23038,116.03442,-8.33832,1.3,5
"65",22002,116.07241,-8.35542,2.9,5
"66",22003,116.0725,-8.35533,3.2,5
"67",22004,116.07254,-8.35531,3.2,5
"68",22005,116.07258,-8.35527,3.5,5
"69",22006,116.07259,-8.35525,3.5,5
"70",22070,116.07584,-8.35229,1.5,5
"71",22071,116.07583,-8.35228,1.6,5
"72",22073,116.07604,-8.352,1.3,5
"73",22074,116.07611,-8.35195,1.2,5
"74",22075,116.07627,-8.35184,1.2,5
"75",22076,116.07631,-8.35179,1.8,5
"76",22077,116.07635,-8.35175,2.2,5
"77",22078,116.07649,-8.35167,2.5,5
"78",22079,116.07651,-8.35165,1.8,5
"79",22080,116.07652,-8.35164,1.8,5
"80",22081,116.07658,-8.35164,2.6,5
"81",22082,116.07659,-8.35163,1.8,5
"82",22083,116.07664,-8.35163,2.5,5
"83",22084,116.07674,-8.35157,2.1,5
"84",22969,116.02606,-8.34445,1.6,5
"85",22970,116.02612,-8.34437,2.3,5
"86",22971,116.02621,-8.34425,2.4,5
"87",48,116.03998,-8.36088,1.62,5
"88",49,116.03993,-8.36089,1.53,5
"89",50,116.03988,-8.3609,1.63,5
"90",51,116.03984,-8.36092,1.55,5
"91",52,116.03976,-8.36093,1.56,5
"92",53,116.0397,-8.36096,2.01,5
"93",54,116.03965,-8.36097,1.45,5
"94",55,116.03961,-8.36101,1.77,5
"95",56,116.03956,-8.36104,1.43,5
"96",57,116.03952,-8.36107,1.73,5
"97",58,116.03948,-8.3611,1.55,5
"98",59,116.03943,-8.36114,1.27,5
"99",60,116.03936,-8.36116,1.44,5
"100",61,116.03931,-8.36119,1.18,5
"101",62,116.03927,-8.36123,1.27,5
"102",63,116.03921,-8.36128,1.39,5
"103",64,116.03916,-8.36131,1.22,5
"104",65,116.0391,-8.36136,1.34,5
"105",66,116.03906,-8.36139,1.38,5
"106",67,116.03903,-8.36143,1.23,5
"107",68,116.039,-8.36147,1.24,5
"108",69,116.03897,-8.36151,1.33,5
"109",70,116.03892,-8.36156,1.42,5
"110",71,116.03888,-8.36159,1.6,5
"111",72,116.03882,-8.36162,1.25,5
"112",73,116.03877,-8.36164,1.3,5
"113",74,116.03872,-8.36166,1.26,5
"114",75,116.03867,-8.3617,1.28,5
"115",1857,116.03998,-8.36088,1.62,5
"116",1858,116.03993,-8.36089,1.53,5
"117",1859,116.03988,-8.3609,1.63,5
"118",1860,116.03984,-8.36092,1.55,5
"119",1861,116.03976,-8.36093,1.56,5
"120",1862,116.0397,-8.36096,2.01,5
"121",1863,116.03965,-8.36097,1.45,5
"122",1864,116.03961,-8.36101,1.77,5
"123",1865,116.03956,-8.36104,1.43,5
"124",1866,116.03952,-8.36107,1.73,5
"125",1867,116.03948,-8.3611,1.55,5
"126",1868,116.03943,-8.36114,1.27,5
"127",1869,116.03936,-8.36116,1.44,5
"128",1870,116.03931,-8.36119,1.18,5
"129",1871,116.03927,-8.36123,1.27,5
"130",1872,116.03921,-8.36128,1.39,5
"131",1873,116.03916,-8.36131,1.22,5
"132",1874,116.0391,-8.36136,1.34,5
"133",1875,116.03906,-8.36139,1.38,5
"134",1876,116.03903,-8.36143,1.23,5
"135",1877,116.039,-8.36147,1.24,5
"136",1878,116.03897,-8.36151,1.33,5
"137",1879,116.03892,-8.36156,1.42,5
"138",1880,116.03888,-8.36159,1.6,5
"139",1881,116.03882,-8.36162,1.25,5
"140",1882,116.03877,-8.36164,1.3,5
"141",1883,116.03872,-8.36166,1.26,5
"142",1884,116.03867,-8.3617,1.28,5
"143",14208,116.04,-8.36087,1.1,5
"144",14209,116.03983,-8.36093,1.2,5
"145",14210,116.03971,-8.36096,1,5
"146",14211,116.03965,-8.36097,1.1,5
"147",14212,116.03959,-8.36103,1.3,5
"148",14213,116.0395,-8.3611,1.1,5
"149",14214,116.03938,-8.36116,1.1,5
"150",14215,116.03931,-8.3612,1.8,5
"151",14216,116.0393,-8.36122,1.6,5
"152",14217,116.03926,-8.36126,1.1,5
"153",14218,116.03916,-8.3613,1.2,5
"154",14219,116.03905,-8.3614,1.1,5
"155",14220,116.039,-8.3615,1.1,5
"156",14221,116.03884,-8.36162,1.3,5
"157",14222,116.0388,-8.36164,1,5
"158",14223,116.03865,-8.36173,1.2,5
"159",14235,116.03669,-8.36209,0.8,5
"160",14236,116.0366,-8.36208,1.6,5
"161",14237,116.03639,-8.36212,1,5
"162",14238,116.0361,-8.36213,0.8,5
"163",14239,116.03586,-8.36214,1.1,5
"164",14240,116.0356,-8.36216,0.9,5
"165",14244,116.03552,-8.36206,2.7,5
"166",14245,116.03552,-8.36205,2.6,5
"167",14246,116.0357,-8.362,2,5
"168",14247,116.03571,-8.362,2,5
"169",14248,116.03594,-8.36196,2.6,5
"170",14249,116.03601,-8.36198,1.9,5
"171",14250,116.03602,-8.36198,1.9,5
"172",14251,116.03614,-8.36198,1,5
"173",14252,116.03616,-8.36198,0.9,5
"174",14253,116.03635,-8.36196,1,5
"175",14254,116.0366,-8.36192,1.2,5
"176",14267,116.03866,-8.3617,1,5
"177",14268,116.03885,-8.36153,1.1,5
"178",14269,116.03916,-8.36131,1.2,5
"179",14270,116.0392,-8.36129,0.7,5
"180",14271,116.03946,-8.36115,0.9,5
"181",14272,116.03957,-8.36108,1.5,5
"182",14273,116.03996,-8.36092,1.1,5
"183",22531,116.05199,-8.34318,1.2,5
"184",22532,116.0522,-8.34295,1.2,5
"185",22533,116.05236,-8.34274,1.2,5
"186",22536,116.05265,-8.34181,1.3,5
"187",22556,116.0536,-8.34098,1.4,5
"188",22557,116.0538,-8.34111,1.2,5
"189",22558,116.05401,-8.34124,1.3,5
"190",22563,116.05492,-8.3416,0.8,5
"191",22564,116.05495,-8.3416,0.6,5
"192",22565,116.05518,-8.34156,0.7,5
"193",22566,116.05537,-8.34149,0.8,5
"194",22567,116.0556,-8.3414,0.9,5
"195",22568,116.05583,-8.34127,0.9,5
"196",22569,116.05606,-8.34124,1.1,5
"197",22570,116.05627,-8.34133,1.1,5
"198",22571,116.05644,-8.34143,1,5
"199",22572,116.05669,-8.34154,1.2,5
"200",22573,116.05691,-8.34149,1.2,5
"201",22574,116.05717,-8.34141,1.2,5
"202",22575,116.05739,-8.34145,1.3,5
"203",22576,116.05769,-8.34162,1,5
"204",22577,116.05795,-8.34177,1,5
"205",22578,116.05804,-8.34183,1.3,5
"206",22579,116.0583,-8.34198,1.2,5
"207",22580,116.05862,-8.34209,1.3,5
"208",22581,116.05879,-8.3421,1.1,5
"209",22582,116.059,-8.34199,0.9,5
"210",22586,116.06011,-8.34178,1.1,5
"211",22587,116.06036,-8.34187,1.1,5
"212",22588,116.06053,-8.34217,1.2,5
"213",22589,116.06059,-8.34248,1.2,5
"214",22591,116.06063,-8.34312,1.3,5
"215",22592,116.06069,-8.34352,1.1,5
"216",22593,116.06085,-8.34392,0.9,5
"217",22594,116.06106,-8.34429,1,5
"218",22595,116.06108,-8.34434,1.3,5
"219",22596,116.06113,-8.34441,0.8,5
"220",22597,116.06121,-8.34465,0.8,5
"221",22598,116.06141,-8.34494,0.7,5
"222",22599,116.06172,-8.34521,1.1,5
"223",22600,116.06192,-8.34543,1.2,5
"224",22609,116.06214,-8.34857,1.2,5
"225",22610,116.06213,-8.349,1.1,5
"226",22613,116.06234,-8.34999,1.2,5
"227",22614,116.06234,-8.35036,1.2,5
"228",22615,116.06234,-8.35062,1.2,5
"229",22616,116.06229,-8.3509,1.2,5
"230",22617,116.06228,-8.35112,1.2,5
"231",22618,116.06229,-8.35138,1.3,5
"232",22619,116.06231,-8.35165,1.4,5
"233",22620,116.0624,-8.35189,1.4,5
"234",22621,116.06249,-8.35212,1.7,5
"235",22386,116.08608,-8.36561,0.8,5
"236",22387,116.08604,-8.3656,1.1,5
"237",22388,116.08585,-8.36556,1.3,5
"238",22389,116.08573,-8.36552,1,5
"239",22390,116.08562,-8.36552,1,5
"240",22391,116.08547,-8.36548,0.5,5
"241",22392,116.08555,-8.36552,0.8,5
"242",22393,116.08559,-8.36555,1.1,5
"243",22678,116.06131,-8.35803,1.4,5
"244",22679,116.06106,-8.35829,1.7,5
"245",3862,116.08617,-8.34837,2.5,5
"246",3863,116.08612,-8.34834,2.9,5
"247",3864,116.08607,-8.34831,2.5,5
"248",3865,116.08602,-8.34829,2.7,5
"249",3866,116.08597,-8.34826,2.5,5
"250",3867,116.08592,-8.34824,2.4,5
"251",3868,116.08588,-8.34822,2.7,5
"252",12632,116.08636,-8.34853,2,5
"253",12634,116.08612,-8.34839,2.4,5
"254",12635,116.0861,-8.34835,2,5
"255",12636,116.08587,-8.34824,2,5
"256",12637,116.08586,-8.34823,1.9,5
"257",22222,116.0864,-8.34861,2,5
"258",22223,116.08647,-8.34868,1.5,5
"259",22224,116.08652,-8.34876,2,5
"260",22225,116.08656,-8.34882,1.3,5
"261",22226,116.08659,-8.34883,1.7,5
"262",22227,116.08663,-8.34886,1.8,5
"263",22228,116.08678,-8.34904,1.2,5
